Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330041006,Laurelhurst,Seattle,BG0041006,881,217782,1000000,38.73,0,0,90.35,330,0,0,0,12.42,4.14,60.14,650,2010
530330042001,Laurelhurst,Seattle,BG0042001,1579,113322,625988,46.7,902,11.52,85.69,705,27.29,4.96,8.79,16.19,3.45,42.76,649,2010
530330042002,Laurelhurst,Seattle,BG0042002,1632,83010,561776,38.41,1231,15.31,66.85,664,25.86,8.13,7.08,16.04,3.58,43.64,648,2010
530330042003,Laurelhurst,Seattle,BG0042003,1517,86859,489640,56.17,1163,25.06,76.47,716,47.92,6.84,17.32,16.02,3.71,53.6,647,2010
530330042004,Bryant,Seattle,BG0042004,1485,88855,459127,43.4,1043,16.78,84.65,621,25.51,3.38,9.5,16.05,3.72,28.25,646,2010
530330042005,Bryant,Seattle,BG0042005,1405,112313,618902,48.3,837,17.31,83.84,579,22.95,0.86,5.87,16.01,3.56,39.13,646,2010
530330043011,Bryant,Seattle,BG0043011,1219,43203,401216,30.72,845,22.12,60.95,514,77.89,5.25,65.56,5.05,4.21,64.04,645,2010
530330043012,Ravenna,Seattle,BG0043012,1208,99561,474667,40.42,726,9.04,81.62,518,34.55,1.16,18.15,5.08,4.27,52.43,642,2010
530330043013,Ravenna,Seattle,BG0043013,1104,101563,620370,20.48,2000,22.28,85.42,508,52.6,0,39.96,5.2,4.16,38.51,642,2010
530330043021,Ravenna,Seattle,BG0043021,1986,20562,300000,37.25,829,19.33,69.74,744,94.77,9.01,76.75,4.94,4.07,0,642,2010
530330043022,Ravenna,Seattle,BG0043022,1532,22375,592105,27.79,817,19.66,65.01,904,94.3,1.55,78.76,5.08,4.09,9.02,642,2010
530330044001,Ravenna,Seattle,BG0044001,1253,114489,623529,39.32,693,22.06,83.16,509,30.88,0,18.47,5.93,4.91,50.72,641,2010
530330044002,Roosevelt,Seattle,BG0044002,1633,60769,577465,41.46,675,25.83,75.63,779,64.13,2.31,48.65,5.84,5.03,47.66,640,2010
530330044003,University District,University District,BG0044003,1609,108696,668548,35.01,861,28.94,75.64,489,56.28,0,34.97,5.86,5.02,29.17,639,2010
530330044004,University District,University District,BG0044004,1765,29835,461538,28.31,763,19.58,63.91,932,95.6,9.33,74.36,5.9,5.09,8.97,639,2010
530330045001,Roosevelt,Seattle,BG0045001,1078,88816,478226,36.6,1380,32.31,78.85,395,40.94,0,10.38,11.02,9.71,37.97,639,2010
530330045002,Green Lake,Seattle,BG0045002,1598,95175,572917,31.13,1515,17.82,85.61,643,40.19,4.82,0,10.93,9.65,37.25,638,2010
530330046001,Green Lake,Seattle,BG0046001,1078,124250,650862,36.05,998,4.93,84.97,501,28.91,0,7.98,6,4.93,50,636,2010
530330046002,Green Lake,Seattle,BG0046002,1309,101059,571429,49.08,925,9.64,86.33,616,38.36,0,25.97,6.03,5.03,42.26,636,2010
530330046003,Wallingford,Seattle,BG0046003,864,94355,577073,28.78,1385,11.22,84.26,348,10.82,2.01,2.87,5.85,4.97,34.45,633,2010
530330047001,West Woodland,Ballard,BG0047001,1203,81609,484513,32.19,811,25.34,81.21,609,50.35,18.88,13.3,6.45,1.22,36.64,633,2010
