Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0031003, King County, WA",1284,111638,495385,48.622,803,31.634,83.8006,561,32.3636,8.5562,19.0731,17.8182,5.4546,43.5484,704,2010,,,,,,,,,,
"BG0031004, King County, WA",1393,114195,490948,25.7843,1154,12.9199,88.7294,582,11.2116,0,0,18.0832,5.425,43.1818,704,2010,,,,,,,,,,
"BG0031005, King County, WA",1283,89224,581301,31.4757,908,15.8708,88.2307,576,3.4111,0,2.4306,17.9533,5.5655,37.1601,701,2010,,,,,,,,,,
"BG0032001, King County, WA",919,99275,398077,49.9184,775,30.2026,89.9891,467,31.8386,0,40.0428,4.4843,1.1211,28.3217,698,2010,,,,,,,,,,
"BG0032002, King County, WA",1146,58884,404412,43.8596,840,19.0476,82.199,674,68.7988,13.2047,41.3947,4.5242,1.2481,18.4466,696,2010,,,,,,,,,,
"BG0032003, King County, WA",1102,62955,417204,48.9173,824,32.525,84.9365,710,64.2325,21.1268,57.8873,4.4709,1.3413,33.3333,694,2010,,,,,,,,,,
"BG0032004, King County, WA",1114,50068,522917,34.0517,778,22.1733,87.1634,750,75.4558,9.8667,63.4667,4.7686,1.122,16.8103,693,2010,,,,,,,,,,
"BG0032005, King County, WA",720,97222,572266,45.1128,1231,12,88.1944,326,37.0968,0,19.6319,4.5161,1.2903,35.8621,691,2010,,,,,,,,,,
"BG0032006, King County, WA",1567,59135,659962,33.1804,1112,26.4069,91.5763,839,33.5927,4.41,25.149,4.6693,1.297,36.1244,691,2010,,,,,,,,,,
"BG0032007, King County, WA",1115,102331,513194,16.2712,625,7.7047,87.9821,484,4.6908,0,7.4381,4.4776,1.0661,50.1754,691,2010,,,,,,,,,,
"BG0033001, King County, WA",1178,112632,468092,29.8947,978,12.5964,88.2003,553,16.2313,2.17,4.34,8.0224,2.0522,54.9223,688,2010,,,,,,,,,,
"BG0033002, King County, WA",1109,67817,452174,32.2148,1119,16.3564,82.9576,542,50.0975,10.1476,11.6236,7.7973,1.9493,26.1993,688,2010,,,,,,,,,,
"BG0033003, King County, WA",1694,58448,436719,42.1961,877,28.6771,79.575,974,69.5228,17.3511,32.7515,7.8091,2.0607,3.8012,686,2010,,,,,,,,,,
"BG0033004, King County, WA",1178,64871,438776,31.3373,834,33.177,80.8149,671,77.1518,24.8882,38.7481,7.9812,2.1909,6.422,683,2010,,,,,,,,,,
"BG0033005, King County, WA",1065,89680,479839,34.4966,877,19.0202,84.6009,479,51.1931,2.2965,18.3716,7.8091,2.3861,32.7815,682,2010,,,,,,,,,,
"BG0034001, King County, WA",1140,92226,549033,37.486,858,7.7124,86.5789,540,24.3615,10.9259,4.8148,8.8409,1.9646,40.5303,681,2010,,,,,,,,,,
"BG0034002, King County, WA",1139,102083,529412,45.1025,900,9.4929,89.201,525,27.1287,0,15.8095,8.9109,1.7822,43.4921,681,2010,,,,,,,,,,
"BG0034003, King County, WA",1023,81863,536111,35.3723,877,14.2857,85.044,478,29.0749,10.251,9.8327,8.8106,1.9824,38.2222,681,2010,,,,,,,,,,
"BG0035001, King County, WA",1402,94712,589199,41.5425,1006,20.9546,88.0171,685,29.6353,4.0876,11.3869,4.5593,2.5836,38.4615,674,2010,,,,,,,,,,
"BG0035002, King County, WA",1335,94551,597500,39.5911,856,17.2749,87.4906,671,48.1538,11.1773,17.2876,4.4615,2.4615,50.5226,674,2010,,,,,,,,,,
"BG0035003, King County, WA",1199,75926,530822,31.894,825,10.4336,85.6547,554,53.7255,4.8737,36.2816,4.5098,2.7451,39.779,671,2010,,,,,,,,,,
"BG0036001, King County, WA",1268,53322,398246,51.2794,905,12.8079,78.9432,684,78.9474,10.3801,56.4327,4.7988,1.2384,53.8462,669,2010,,,,,,,,,,
"BG0036002, King County, WA",1282,62320,447541,46.6786,885,19.5755,79.0952,847,71.5723,12.987,67.8867,4.6541,1.2579,0,667,2010,,,,,,,,,,
"BG0036003, King County, WA",1293,121923,584722,44.0952,625,17.9487,82.3666,583,34.5196,0,6.0035,4.8043,1.2456,35.5882,665,2010,,,,,,,,,,
"BG0036004, King County, WA",1829,65317,494681,47.2702,968,27.623,80.2078,1247,72.679,11.0666,67.2013,4.6861,1.4147,29.9451,665,2010,,,,,,,,,,
"BG0038001, King County, WA",1097,107227,569973,37.7934,615,17.4326,80.8569,547,14.6435,3.1079,13.1628,5.395,1.3488,55.4945,664,2010,,,,,,,,,,
"BG0038002, King County, WA",961,94104,547316,31.3779,672,17.0599,78.3559,405,15.7761,0,13.3333,5.0891,1.2723,56.8282,662,2010,,,,,,,,,,
"BG0039001, King County, WA",1677,62708,457203,22.3752,727,9.8781,75.1342,753,26.0446,2.656,18.4595,10.3064,3.6212,36.2981,661,2010,,,,,,,,,,
"BG0039002, King County, WA",1095,124444,578323,31.0436,1468,4.1905,80.0913,438,26.7442,0,0,10.4651,3.2558,53.9432,660,2010,,,,,,,,,,
"BG0040001, King County, WA",1701,74557,371635,25.1118,866,17.6617,72.1928,991,26.4278,5.0454,54.0867,7.7268,0,30.3896,659,2010,,,,,,,,,,
"BG0040002, King County, WA",989,145640,799618,29.9373,1425,14.9144,83.2154,349,10.3858,0,0,7.7151,0,47.0588,658,2010,,,,,,,,,,
"BG0041001, King County, WA",1442,46453,652778,40.1691,988,35.6852,71.0125,694,71.0167,2.1614,49.7119,12.4431,4.2489,38.8693,658,2010,,,,,,,,,,
